metric,value,unit,note
baseline_pick_cycle,36.4,s,previous SW single-pick baseline
current_approach_to_grasp_avg,15.06,s,"PICK_TRIGGER to GRASP_POSE_REACHED, n=3"
time_reduction,58.6,%,baseline vs current approach-to-grasp
current_pick_to_place_avg,49.27,s,"PICK_TRIGGER to marker_place_complete, n=3"
current_pick_sequence_avg,61.66,s,"PICK_TRIGGER to pick_sequence_complete, includes place+return, n=3"
sequence_completion,3/3,%,all three pick sequences completed
place_completion,3/3,%,"slot 0,1,3 marker_place_complete"
auto_gripper_confirmed_grasp,0/3,%,"2 GRASP_EMPTY, 1 GRASP_UNVERIFIED; video/human label needed"
scan_candidates_first,13,count,TARGET_FOUND pick candidates
scan_candidates_second,8,count,TARGET_FOUND pick candidates after re-scan
collected_targets_total,3,count,deduped collected targets across scans

trial,target_mm,approach_to_grasp_s,verify_s,place_s,complete_s,slot,auto_grasp_result,pos,current_raw
1,"-197,790,525",14.23,20.25,48.23,63.15,0,GRASP_EMPTY,700,6
2,"-152,793,572",15.88,21.75,50.1,61.47,1,GRASP_EMPTY,700,5
3,"-373,785,585",15.06,20.68,49.48,60.34,3,GRASP_UNVERIFIED,697,125
